instance,family,n,m,density,avg_deg,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,LB,UB,gap,feasible,conflicts,runtime_sec,iters,stop_reason,best_time_sec,best_round,ablation,error,last_update_ts,status
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,0,540,smallest_last,prefix_shrink+rounded_support,0.25,1,1,1e-06,,,,False,,525.1377972513437,,,,,full,,1768788562,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,0,540,smallest_last,prefix_shrink+rounded_support,0.25,1,1,1e-06,,316,,False,,229.27846061438322,,,1.3211729526519775,0,full,,1768789466,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,0,25080,smallest_last,prefix_shrink+rounded_support,0.25,20,32,1e-06,,316,,False,,2180.6852053925395,,,1.464752435684204,0,full,,1768792186,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,1,25080,smallest_last,prefix_shrink+rounded_support,0.25,20,32,1e-06,,316,,False,,1140.3211438134313,,,1.4478909969329834,0,full,,1768791169,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,1,604680,smallest_last,prefix_shrink+rounded_support,0.25,20,32,1e-06,,316,,False,,2087.708076648414,,,1.7023279666900635,0,full,,1768835610,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,2,25080,smallest_last,prefix_shrink+rounded_support,0.25,20,32,1e-06,,316,,False,,1777.8883209377527,,,1.5433611869812012,0,full,,1768791854,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,2,604680,smallest_last,prefix_shrink+rounded_support,0.25,20,32,1e-06,,316,,False,,1200.822913274169,,,1.679053544998169,0,full,,1768834723,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,3,25080,smallest_last,prefix_shrink+rounded_support,0.25,20,32,1e-06,,316,,False,,1120.115313127637,,,1.6468029022216797,0,full,,1768791212,running
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,4,25080,smallest_last,prefix_shrink+rounded_support,0.25,20,32,1e-06,,316,,False,,2273.9530266691,,,1.6100451946258545,0,full,,1768792397,running
